unique_code,make_slug,make_name,model_slug,model_name,year,trim_slug,trim_name,variant_slug,variant_name,vehicle_type,drivetrain,system_power_kw,system_torque_nm,battery_capacity_gross_kwh,battery_capacity_net_kwh,battery_chemistry,dc_max_power_kw,ac_max_power_kw,range_wltp_km,range_epa_km,acceleration_0_100_s,top_speed_kmh,charge_connectors,sources
nissan:ariya:2023:ariya_awd,nissan,Nissan,ariya,Ariya,2023,engage,Engage,awd,AWD e-4ORCE,Suv,Awd,290,600,63,63,li-ion,130,7.4,430,383,5.1,200,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html
nissan:ariya:2024:ariya,nissan,Nissan,ariya,Ariya,2024,engage,Engage,,,Suv,Fwd,160,300,63,63,li-ion,130,7.4,430,383,7.5,160,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html|https://www.fueleconomy.gov
nissan:ariya:2024:ariya_awd_87_kwh,nissan,Nissan,ariya,Ariya,2024,engage,Engage,awd_87_kwh,AWD e-4ORCE 87 kWh,Suv,Awd,290,600,87,87,li-ion,130,7.4,470,459,5.1,200,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html
nissan:ariya:2024:ariya_87_kwh,nissan,Nissan,ariya,Ariya,2024,engage,Engage,87_kwh,87 kWh,Suv,Fwd,160,300,87,87,li-ion,130,7.4,500,499,7.5,160,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html|https://www.fueleconomy.gov
nissan:ariya:2024:ariya_awd,nissan,Nissan,ariya,Ariya,2024,engage,Engage,awd,AWD e-4ORCE,Suv,Awd,290,600,63,63,li-ion,130,7.4,430,383,5.1,200,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html
nissan:ariya:2025:ariya,nissan,Nissan,ariya,Ariya,2025,engage,Engage,,,Suv,Fwd,160,300,63,63,li-ion,130,7.4,430,383,7.5,160,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html|https://www.fueleconomy.gov
nissan:ariya:2025:ariya_awd_87_kwh,nissan,Nissan,ariya,Ariya,2025,engage,Engage,awd_87_kwh,AWD e-4ORCE 87 kWh,Suv,Awd,290,600,87,87,li-ion,130,7.4,470,459,5.1,200,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html
nissan:ariya:2025:ariya_87_kwh,nissan,Nissan,ariya,Ariya,2025,engage,Engage,87_kwh,87 kWh,Suv,Fwd,160,300,87,87,li-ion,130,7.4,500,499,7.5,160,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html|https://www.fueleconomy.gov
nissan:ariya:2025:ariya_awd,nissan,Nissan,ariya,Ariya,2025,engage,Engage,awd,AWD e-4ORCE,Suv,Awd,290,600,63,63,li-ion,130,7.4,430,383,5.1,200,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html
nissan:ariya_nismo:2025:ariya_nismo,nissan,Nissan,ariya_nismo,Ariya Nismo,2025,nismo,Nismo,,,Suv,Awd,270,600,66,66,li-ion,130,7.4,420,400,5,200,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html
nissan:ariya_nismo:2025:ariya_nismo_b9,nissan,Nissan,ariya_nismo,Ariya Nismo,2025,nismo,Nismo,b9,B9,Suv,Awd,320,600,91,91,li-ion,130,7.4,500,480,4.5,200,Ccs1,https://www.nissanusa.com/vehicles/electric-cars/ariya.html
nissan:leaf:2023:leaf,nissan,Nissan,leaf,LEAF,2023,base,Base,,,PassengerCar,Fwd,110,320,40,40,li-ion,50,6.6,270,240,7.9,144,Chademo|Type1,https://www.nissan.com.br/veiculos/eletricos/leaf.html|https://www.fueleconomy.gov
